2018-05-26 20:31:49.177 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'DESKTOP-78RVP3N\anton' to group 'Performance Monitor Users' because the user is already in group.
2018-05-26 20:31:49.964 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-05-26 20:31:49.991 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-05-26 20:31:50.044 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-05-26 20:32:42.650 INFO  CommandMessageHandler Hello from CommandMessageHandler
2018-05-26 20:32:52.694 INFO  CommandMessageHandler Returning Fail
2018-05-26 20:32:53.543 INFO  CommandMessageHandler Hello from CommandMessageHandler
2018-05-26 20:33:03.571 INFO  CommandMessageHandler Returning None
2018-05-26 20:35:49.389 INFO  CommandMessageHandler Hello from CommandMessageHandler
2018-05-26 20:35:59.754 INFO  CommandMessageHandler Returning Fail
2018-05-26 20:36:00.379 INFO  CommandMessageHandler Hello from CommandMessageHandler
2018-05-26 20:36:10.407 INFO  CommandMessageHandler Returning None
2018-05-26 20:45:13.164 INFO  DefaultFactory Logging to 'C:\Users\anton\Desktop\RelationalPart\Server\bin\Debug\net461\' with level Info
2018-05-26 20:45:17.402 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '5/26/2018'

2018-05-26 20:45:18.531 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'DESKTOP-78RVP3N\anton' to group 'Performance Monitor Users' because the user is already in group.
2018-05-26 20:45:19.884 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-05-26 20:45:19.978 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-05-26 20:45:20.028 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-05-26 20:45:39.294 INFO  CommandMessageHandler Hello from CommandMessageHandler
2018-05-26 20:45:49.346 INFO  CommandMessageHandler Returning None
2018-05-26 20:45:50.361 INFO  CommandMessageHandler Hello from CommandMessageHandler
